measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
2018-09-01,0.0,12.0,12.0
2018-10-01,0.0,12.0,12.0
2018-11-01,0.0,12.0,12.0
2018-12-01,0.0,12.0,12.0
2019-01-01,0.0,18.0,18.0
2019-02-01,0.0,12.0,12.0
2019-03-01,0.0,18.0,18.0
2019-04-01,0.0,12.0,12.0
2019-05-01,0.0,18.0,18.0
2019-06-01,0.0,18.0,18.0
2019-07-01,0.0,12.0,12.0
2019-08-01,0.0,12.0,12.0
2019-09-01,0.0,12.0,12.0
2019-10-01,0.0,18.0,18.0
2019-11-01,0.0,12.0,12.0
2019-12-01,0.0,12.0,12.0
2020-01-01,0.0,6.0,6.0
2020-02-01,0.0,12.0,12.0
2020-03-01,0.0,6.0,6.0
2020-04-01,0.0,12.0,12.0
2020-05-01,0.0,12.0,12.0
2020-06-01,0.0,12.0,12.0
2020-07-01,0.0,6.0,6.0
2020-08-01,0.0,12.0,12.0
2020-09-01,0.0,6.0,6.0
2020-10-01,0.0,12.0,12.0
2020-11-01,0.0,12.0,12.0
2020-12-01,0.0,12.0,12.0
2021-01-01,11.079,152.0,152.0
2021-02-01,18.334,257.0,257.0
2021-03-01,14.177,198.0,198.0
2021-04-01,11.062,152.0,152.0
2021-05-01,10.874,152.0,152.0
2021-06-01,12.543,175.0,175.0
2021-07-01,4.5,64.0,64.0
2021-08-01,7.0,99.0,99.0
2021-09-01,9.724,134.0,134.0
2021-10-01,12.241,169.0,169.0
2021-11-01,11.783,163.0,163.0
2021-12-01,17.683,245.0,245.0
2022-01-01,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0
